drug_name,review_source,drug_review,tokens,concreteness,modality,sentiments,disease,side effects,side effects grouped,side effects cleaned,side_effects_cleaned_grouped
Elidel,Drugs.com,"""I had severe eczema on my face, forehead and my cheeks and eyebrows all my life. It was so scaly, flaky and itchy on a daily basis that due to my constant scratching, I had no eyebrows left as they had fallen out due to the constant scratching and the skin was so damaged that new eyebrows couldn't grow. And my face was always red like I had severe sunburn. 
  I started using using Elidel just over 10 years ago. And after just a few weeks of using Elidel my face actually started to heal. My skin totally changed its texture, tone and colour back to what it should have been originally. There was no more itching or the need and desire to scratch. It has totally eradicated the eczema and has been absolutely life changing.""","['severe', 'eczema', 'face', 'forehead', 'cheek', 'eyebrow', 'life', 'scaly', 'flaky', 'itchy', 'daily', 'basis', ' ', 'constant', 'scratching', 'eyebrow', 'leave', 'fall', 'constant', 'scratching', 'skin', 'damage', 'new', 'eyebrow', 'grow', 'face', 'red', 'like', 'severe', 'sunburn', '\r\n ', 'start', 'elidel', '10', 'year', 'ago', 'week', 'elidel', 'face', 'actually', 'start', 'heal', 'skin', 'totally', 'change', 'texture', 'tone', 'colour', 'originally', 'itching', 'need', 'desire', 'scratch', 'totally', 'eradicate', 'eczema', 'absolutely', 'life', 'change']",0.237288,Deontic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,Amazing ! Was addicted to topical Elocon and had rash for 2 months around my mouth from steroid cream. Was getting worse and had to apply more steroid creams . Used Elidel and in HOURS it was fading after using it once . I will continue to use it ! It’s like a magic cream ( for me ) . Thank goodness,"['amazing', 'addicted', 'topical', 'elocon', 'rash', '2', 'month', 'mouth', 'steroid', 'cream', 'get', 'bad', 'apply', 'steroid', 'cream', 'elidel', 'hours', 'fade', 'continue', 'use', 'like', 'magic', 'cream', 'thank', 'goodness']",0.12,Epistemic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"Wow!! I have had severe seborrheic dermatitis for over ten years effecting not only my head, ears, cheeks, beard, chest, back and it was bad for my self esteem, employment and life in general. I have used many things over the years all of which eventually stop working but this stuff is amazing! I have my life back and I am beginning to smile again. Smooth skin, not inflammation and no flakes. Yes there is a kind of flush/heat feeling on the skin the first few days but that stops. Very happy with this product!!!! May I add that I am in the uk so I get free prescriptions so I can’t comment on affordability.","['wow', 'severe', ' ', 'seborrheic', ' ', 'dermatitis', ' ', 'year', 'effect', 'head', 'ear', 'cheek', 'beard', 'chest', 'bad', 'self', 'esteem', 'employment', 'life', 'general', 'thing', 'year', 'eventually', 'stop', 'work', 'stuff', 'amazing', 'life', 'begin', 'smile', 'smooth', 'skin', 'inflammation', 'flake', 'yes', 'kind', 'flush', 'heat', 'feeling', 'skin', 'day', 'stop', 'happy', 'product', 'add', 'uk', 'free', ' ', 'prescription', 'comment', 'affordability']",0.235294,Epistemic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,A suggestion from my dermatologist when he prescribed this to me. Keep it refrigerator - he said he cuts down on the burning sensation when you first apply it. I did this and so far no problem with burning and the medicine does seem to clear up the flaking and peeling on my eyelids and around eyes.,"['suggestion', 'dermatologist', 'prescribe', ' ', 'refrigerator', 'say', 'cut', 'burn', 'sensation', 'apply', ' ', 'far', 'problem', 'burning', 'medicine', 'clear', 'flaking', 'peel', 'eyelid', 'eye']",0,Deontic modality,Neutral,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"""Developed dermatitis around my eyes. Flare ups became more and more frequent and lasted longer each time. I didn't like the idea of putting cortisone on my eyelids for prolonged periods so did research on other safer alternatives.
 I've since switched to Elidel and it has completely cleared up the rash, no more itching, no redness and the damaged skin is finally getting a chance to heal.
 Used sparingly on my eyelids is enough to keep the dermatitis reappearing.
 It can dry the skin out but nowhere near as bad as cortisone. Counteract dryness with coconut oil which works better than commercial moisturisers for me.
 
 We have medicare in Australia and the script cost me less than $20
 
 Got my life back and building confidence again now my eyes don't look red and puffy. I used to get asked on a regular basis ""what's wrong with your eyes? are you high"". It was embarrassing since I have a professional job and really had me depressed for almost a year until elidel came along and saved me.""","['developed', 'dermatitis', 'eye', 'flare', 'up', 'frequent', 'last', 'long', 'time', 'like', 'idea', 'put', 'cortisone', 'eyelid', 'prolong', 'period', 'research', 'safe', 'alternative', '\n', 'switch', 'elidel', 'completely', 'clear', 'rash', 'itching', 'redness', 'damaged', 'skin', 'finally', 'get', 'chance', 'heal', '\n', 'sparingly', 'eyelid', 'dermatitis', 'reappearing', '\n', 'dry', 'skin', 'near', 'bad', 'cortisone', 'counteract', 'dryness', 'coconut', 'oil', 'work', 'well', 'commercial', 'moisturiser', '\n\n', 'medicare', 'australia', 'script', 'cost', '$', '20', '\n\n', 'get', 'life', 'build', 'confidence', 'eye', 'look', 'red', 'puffy', 'ask', 'regular', 'basis', 'wrong', 'eye', 'high', 'embarrassing', 'professional', 'job', 'depress', 'year', 'elidel', 'come', 'save']",0.195122,Uncertain modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"My 2yr old has been suffering with eczema on his cheeks since he was 7 months old. It would only appear during winter however it would be extremely red, scabby, he would itch consistently making it bleed. On occasion it would weep and I am assuming it would hurt him as at night he would not sleep. My poor little boy would suffer day after day and nothing I did or try would work. After spending over $600 trying to find a solution the Dr gave us Elidel cream and it worked within 2 days ! I can not describe how amazing this cream worked for us I am so happy my boy is better !","['2yr', 'old', 'suffer', 'eczema', 'cheek', '7', 'month', 'old', 'appear', 'winter', 'extremely', 'red', 'scabby', 'itch', 'consistently', 'make', 'bleed', ' ', 'occasion', 'weep', 'assume', 'hurt', 'night', 'sleep', 'poor', 'little', 'boy', 'suffer', 'day', 'day', 'try', 'work', 'spend', '$', '600', 'try', 'find', 'solution', 'dr', 'give', 'elidel', 'cream', 'work', '2', 'day', 'describe', 'amazing', 'cream', 'work', 'happy', 'boy', 'well']",0.153846,Deontic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"""Have been using Elidel for the past week. At first on and off, and when I was off it, my eczema came back tenfold. Bright red flaky face. Horrible and not even near the 'normal eczema'. 
 Have been using it more persistently the past month and even longer.. Now my tube is almost empty so I stopped. And my face is bright red and VERY TIGHT! It's horrible.. I find myself back in the negative loop of 'what is going on?' Am I reacting to food or is it the cream. I just don't know anymore. But I do know that I don't want to be dependent on this cream. I wish doctors would help me live a life off meds.""","['elidel', 'past', 'week', 'eczema', 'come', 'tenfold', 'bright', 'red', 'flaky', 'face', 'horrible', 'near', 'normal', 'eczema', '\n', 'persistently', 'past', 'month', 'long', 'tube', 'stop', 'face', 'bright', 'red', 'tight', 'horrible', 'find', 'negative', 'loop', 'go', 'react', 'food', 'cream', 'know', 'anymore', 'know', 'want', 'dependent', 'cream', 'wish', 'doctor', 'help', 'live', 'life', 'med']",0.333333,Epistemic modality,Negative,Eczema,Topical Steroid Withdrawal,Flu-like,Topical Steroid Withdrawal,Skin-Related
Elidel,Drugs.com,I have atopic dermatitis and I've had it for my whole life. I was miserable so my doctor prescribed me elidel. It made me worse. It made me peel really bad like huge chunks of skin would fall off of my body. It also dried out my skin. I will never use this again.,"['atopic', 'dermatitis', 'life', 'miserable', 'doctor', 'prescribe', 'elidel', 'bad', 'peel', 'bad', 'like', 'huge', 'chunk', 'skin', 'fall', 'body', 'dry', 'skin', 'use']",0.368421,Deontic modality,Negative,Eczema,Topical Steroid Withdrawal,Flu-like,Topical Steroid Withdrawal,Skin-Related
Elidel,Drugs.com,"Since having to wear face masks occasionally when I leave the house I have had contact Dermatitis with a swollen sore red face - about 8 weeks. At times my skin was weeping, it was so swollen. Originally diagnosed as hayfever - I had tried other medications. Within 24 hours of using Elidel - my face started repairing. Now into day 3 it is almost back to normal.","['have', 'wear', 'face', 'mask', 'occasionally', 'leave', 'house', 'contact', 'dermatitis', ' ', 'swollen', 'sore', 'red', 'face', '8', 'week', 'time', 'skin', 'weep', 'swollen', ' ', 'originally', 'diagnose', 'hayfever', 'try', 'medication', ' ', '24', 'hour', 'elidel', 'face', 'start', 'repair', ' ', 'day', '3', 'normal']",0.054054,Deontic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"My dermatologist prescribed me this as I have redness on my face. I have used it nightly for ~6 months now. I can’t say it worked well, maybe there was a little improvement but its debatable. I stopped for a few days after 2-3months and my face developed a red, raised and itchy rash. I’ve never had that before on my face so I was horrified. My dermatologist then prescribed Advantan cream for 3 days, antibiotics for 2 weeks (in place of oratane which I was taking) and cetaphil wash and cream. It worked. She then made me continue with Elidel. I stopped again after 2-3months for a few days and the rash is back again. So I can say for sure that this rash is due to stopping Elidel. I believe this is Elidel withdrawal and more research needs to be done on this as I see here that I’m not the only one. I’m not sure how long this rash is going to last. Before using Elidel, I have never had such a rash on my face before.","['dermatologist', 'prescribe', 'redness', 'face', 'nightly', '~6', 'month', 'work', 'maybe', 'little', 'improvement', 'debatable', 'stop', 'day', '2', '3months', 'face', 'develop', 'red', 'raise', 'itchy', 'rash', 'face', 'horrified', 'dermatologist', 'prescribe', 'advantan', 'cream', '3', 'day', 'antibiotic', '2', 'week', 'place', 'oratane', 'take', 'cetaphil', 'wash', 'cream', 'work', 'continue', 'elidel', 'stop', '2', '3months', 'day', 'rash', 'sure', 'rash', 'stop', 'elidel', 'believe', 'elidel', 'withdrawal', 'research', 'need', 'sure', 'long', 'rash', 'go', 'elidel', 'rash', 'face']",0.15873,Deontic modality,Negative,Eczema,Topical Steroid Withdrawal,Flu-like,Topical Steroid Withdrawal,Skin-Related
Elidel,Drugs.com,I suffer with severe atopic dermatitis. I went to several dermatologist before they could figure out my condition. I tried several creams and ointments but they all burned and made the skin red and swollen. Then it would all flake away n become inflammed again. In 5 days of using elidel my skin is clearer than it's been in months! It doesn't burn going on the skin (I keep it in the fridge) n it feels smooth going on. Definitely apply a moisturizer after application. Elidel has been a God send!! I hope it works for everyone else. Elidel is very expensive.,"['suffer', 'severe', 'atopic', 'dermatitis', 'go', 'dermatologist', 'figure', 'condition', 'try', 'cream', 'ointment', 'burn', 'skin', 'red', 'swollen', 'flake', 'away', 'n', 'inflammed', '5', 'day', 'elidel', 'skin', 'clear', 'month', 'burn', 'go', 'skin', 'fridge', 'n', 'feel', 'smooth', 'go', 'definitely', 'apply', 'moisturizer', 'application', 'elidel', 'god', ' ', 'send', 'hope', 'work', 'elidel', 'expensive']",0.088889,Epistemic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"I've suffered from eczema since childhood and Elidel completely eradicated the severe eczema lesions behind my knees. While I still have a few spots that pop up during the winter, Elidel keeps it controlled. Very effective cream, just very pricey.","['suffer', 'eczema', 'childhood', 'elidel', 'completely', 'eradicate', 'severe', 'eczema', 'lesion', 'knee', ' ', 'spot', 'pop', 'winter', 'elidel', 'keep', 'control', ' ', 'effective', 'cream', 'pricey']",0.190476,Deontic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"After battling facial eczema for over five years, which of course makes one agoraphophic and unwilling to go out to a supermarket, let alone a pub or a nightclub, and with no respite from two different dermatologists in Brussels, I tried Elidel after my Mum sent me a newspaper cutting about a British model who was suffering from eczema and had tried it with successful results. Overnight (!) the redness went away. It hasn't gotten rid of the eczema completely and I still have to use it when I feel a flare-up coming. Elidel changed my life: my facial skin is a regular"" color now (maybe just fractionally too red but only fractionally and nobody would ever comment on it) and I once again go out to pubs and nightclubs in Belgium. 5/5 stars.""","['battle', 'facial', 'eczema', 'year', 'course', 'make', 'agoraphophic', 'unwilling', 'supermarket', 'let', 'pub', 'nightclub', 'respite', 'different', 'dermatologist', 'brussels', 'try', 'elidel', 'mum', 'send', 'newspaper', 'cut', 'british', 'model', 'suffer', 'eczema', 'try', 'successful', 'result', 'overnight', 'redness', 'go', 'away', 'get', 'rid', 'eczema', 'completely', 'use', 'feel', 'flare', 'come', 'elidel', 'change', 'life', 'facial', 'skin', 'regular', 'color', 'maybe', 'fractionally', 'red', 'fractionally', 'comment', 'pub', 'nightclub', 'belgium', '5/5', 'star']",0.241379,Deontic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"I was given this medicine by my physician for less than a pea size dry patch. It burned my skin severely, causing it to become discolored. It burned my skin, making it become more dry and cracked. Over the years, my symptoms have gotten progressively worse. I may have Crohn's now, and I get a bunch swollen lymph nodes. My hands are now crippled, and I have to pry them apart. This cream have weakened my immune system as well. I am very weak at times. I feel helpless, because I couldn't do things for my girls. I tried reaching the company, and all they had to say was...keep us informed. I sent pictures and everything. I reached back out to get no response.","['give', 'medicine', 'physician', 'pea', 'size', 'dry', 'patch', 'burn', 'skin', 'severely', 'cause', 'discolored', 'burn', 'skin', 'make', 'dry', 'crack', 'year', 'symptom', 'get', 'progressively', 'bad', 'crohn', 'bunch', 'swollen', 'lymph', 'node', ' ', 'hand', 'crippled', 'pry', 'apart', 'cream', 'weaken', 'immune', 'system', 'weak', ' ', 'time', 'feel', 'helpless', 'thing', 'girl', 'try', 'reach', 'company', 'inform', 'send', 'picture', 'reach', 'response']",0.156863,Deontic modality,Negative,Eczema,"Topical Steroid Withdrawal, Weakened Immunity System, Fatigue",Flu-like,"Topical Steroid Withdrawal, Weakened Immune System, Fatigue","Skin-Related,General,Psychological"
Elidel,Drugs.com,"After discovering the cost of the medication, I asked my physician if I could get a sample before buying it. The pharmaceutical company would not send samples. That should have been an indication that it might not be effective. I finally purchased the prescription of 30 g for $250. I have not found the product to be very effective. It makes the area applied to very dry which leads to the skin cracking. Vaseline works as well as the Elidel at a fraction of the cost.","['discover', 'cost', 'medication', 'ask', 'physician', 'sample', 'buy', ' ', 'pharmaceutical', 'company', 'send', 'sample', ' ', 'indication', 'effective', ' ', 'finally', 'purchase', 'prescription', '30', 'g', '$', '250', ' ', 'find', 'product', 'effective', ' ', 'make', 'area', 'apply', 'dry', 'lead', 'skin', 'crack', ' ', 'vaseline', 'work', 'elidel', 'fraction', 'cost']",0.04878,Deontic modality,Negative,Eczema,Topical Steroid Withdrawal,Flu-like,Topical Steroid Withdrawal,Skin-Related
Elidel,Drugs.com,"""Sudden attacks of agonizing atopic dermatitis that resisted all cortisone creams.
 My dermatologist prescribed Elidel and it worked! No side effects except my great delight and relief. Now, as another attack has arrived, I paid the outrageous price for a tube, but THAT side effect is small due to its efficacy.""","['sudden', 'attack', 'agonize', 'atopic', 'dermatitis', 'resist', 'cortisone', 'cream', '\n', 'dermatologist', 'prescribe', 'elidel', 'work', 'effect', 'great', 'delight', 'relief', 'attack', 'arrive', 'pay', 'outrageous', 'price', 'tube', 'effect', 'small', 'efficacy']",0.307692,Deontic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"""This cream changed my 7 year old daughters life. She is now 17 and no longer has severe eczema.
 Because of this cream she was able to finally sleep through the night with out waking to scratch.She no longer got the white skin patches that hydrocortisone cream gave her.The change was dramatic and life changing. We live in NZ""","['cream', 'change', '7', 'year', 'old', 'daughter', 'life', '17', 'long', 'severe', 'eczema', '\r\n', 'cream', 'able', 'finally', 'sleep', 'night', 'wake', 'scratch', 'long', 'get', 'white', 'skin', 'patch', 'hydrocortisone', 'cream', 'give', 'change', 'dramatic', 'life', 'change', 'live', 'nz']",0.30303,Deontic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"About five years ago, both my cheeks were covered in weeping, chapped, burning and itchy patches. It was so bad that I could actually wipe my hand across my cheek in the shower and the skin would come off. Steroids helped, but not at all enough. Elidel gave me my face and my confidence back. It took time, but it worked with little side effects-- for me, my nose runs and my sinuses burn. Now, my eczema has come back, and I'm back on the Elidel, and it's working like a charm already. It's outrageously expensive, however. It was 480 dollars with insurance, which I got down to 180 with a coupon. Due to the price, I would recommend exploring more affordable options before resorting to Elidel. You never know what will or won't work for you.","['year', 'ago', 'cheek', 'cover', 'weeping', 'chap', 'burning', 'itchy', 'patch', 'bad', 'actually', 'wipe', 'hand', 'cheek', 'shower', 'skin', 'come', 'steroid', 'help', 'elidel', 'give', 'face', 'confidence', 'take', 'time', 'work', 'little', 'effects--', 'nose', 'run', 'sinus', 'burn', 'eczema', 'come', 'elidel', 'work', 'like', 'charm', 'outrageously', 'expensive', '480', 'dollar', 'insurance', 'get', '180', 'coupon', 'price', 'recommend', 'explore', 'affordable', 'option', 'resort', 'elidel', 'know', 'wo', 'work']",0.125,Epistemic modality,Positive,Eczema,Nil,Nil,Nil,Nil
